Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2024-10-15 11:28:16,2024-10-15 11:28:17,Revolut Bank UAB,4.00,0.00,RON,COMPLETED,31.71
Transfer,Current,2024-10-15 11:28:35,2024-10-15 11:28:35,Revolut Bank UAB,4.00,0.00,RON,COMPLETED,35.71
Card Payment,Current,2024-10-14 07:47:54,2024-10-15 18:47:08,Metrorex,-3.00,0.00,RON,COMPLETED,32.71
Transfer,Current,2024-10-15 22:00:02,2024-10-15 22:00:02,Revolut Bank UAB,-20.74,0.00,RON,COMPLETED,11.97
Transfer,Current,2024-10-16 06:44:28,2024-10-16 06:44:28,Revolut Bank UAB,20.74,0.00,RON,COMPLETED,32.71
Card Payment,Current,2024-10-15 11:31:33,2024-10-16 07:50:26,Mega Image,-11.97,0.00,RON,COMPLETED,20.74
Transfer,Current,2024-10-16 07:57:46,2024-10-16 07:57:46,Revolut Bank UAB,24.00,0.00,RON,COMPLETED,44.74
Transfer,Current,2024-10-16 12:12:33,2024-10-16 12:12:34,Revolut Bank UAB,3.00,0.00,RON,COMPLETED,47.74
Card Payment,Current,2024-10-16 07:58:39,2024-10-17 07:37:31,Mega Image,-44.00,0.00,RON,COMPLETED,3.74
Topup,Current,2024-10-19 19:31:19,2024-10-19 19:31:20,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,163.74
Transfer,Current,2024-10-19 19:31:39,2024-10-19 19:31:39,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,3.74
Card Payment,Current,2024-10-18 14:50:18,2024-10-22 04:58:24,Metrorex,-3.00,0.00,RON,COMPLETED,0.74
Topup,Current,2024-10-22 11:35:23,2024-10-22 11:35:24,Apple Pay top-up by *1781,60.00,0.00,RON,COMPLETED,60.74
Transfer,Current,2024-10-22 11:35:38,2024-10-22 11:35:38,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,38.74
Transfer,Current,2024-10-23 08:17:27,2024-10-23 08:17:27,Revolut Bank UAB,5.50,0.00,RON,COMPLETED,44.24
Transfer,Current,2024-10-23 08:17:42,2024-10-23 08:17:42,Revolut Bank UAB,1.00,0.00,RON,COMPLETED,45.24
Card Payment,Current,2024-10-23 08:17:24,2024-10-24 07:39:42,Mega Image,-11.18,0.00,RON,COMPLETED,34.06
Transfer,Current,2024-10-24 18:51:33,2024-10-24 18:51:33,Revolut Bank UAB,100.00,0.00,RON,COMPLETED,134.06
Transfer,Current,2024-10-24 19:13:38,2024-10-24 19:13:38,Revolut Bank UAB,150.00,0.00,RON,COMPLETED,284.06
Card Payment,Current,2024-10-24 19:24:24,2024-10-25 07:41:16,Carrefour,-14.90,0.00,RON,COMPLETED,269.16
Card Payment,Current,2024-10-24 19:15:12,2024-10-25 07:41:42,Sephora,-132.00,0.00,RON,COMPLETED,137.16
Transfer,Current,2024-10-25 08:21:06,2024-10-25 08:21:06,Revolut Bank UAB,5.00,0.00,RON,COMPLETED,142.16
Card Payment,Current,2024-10-24 20:22:28,2024-10-26 05:05:08,ParkLake Shopping Center,-4.00,0.00,RON,COMPLETED,138.16
Card Payment,Current,2024-10-25 10:31:41,2024-10-26 07:47:12,Mega Image,-3.99,0.00,RON,COMPLETED,134.17
Card Payment,Current,2024-10-25 08:25:45,2024-10-26 07:47:12,Mega Image,-7.18,0.00,RON,COMPLETED,126.99
Card Payment,Current,2024-10-24 19:30:47,2024-10-26 07:53:50,Taco Bell,-20.50,0.00,RON,COMPLETED,106.49
Card Payment,Current,2024-10-26 17:27:29,2024-10-27 03:43:20,MM Partners Pub,-4.00,0.00,RON,COMPLETED,102.49
Card Payment,Current,2024-10-26 03:00:41,2024-10-27 06:48:42,Uber,-50.88,0.00,RON,COMPLETED,51.61
Transfer,Current,2024-10-27 14:54:11,2024-10-27 14:54:11,Revolut Bank UAB,-18.00,0.00,RON,COMPLETED,33.61
Topup,Current,2024-10-27 15:06:06,2024-10-27 15:06:08,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,193.61
Transfer,Current,2024-10-27 15:06:18,2024-10-27 15:06:18,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,33.61
Card Payment,Current,2024-10-26 17:53:09,2024-10-27 16:24:26,Profi,-8.89,0.00,RON,COMPLETED,24.72
Card Payment,Current,2024-10-27 18:59:08,2024-10-28 06:43:18,McDonald's,-10.50,0.00,RON,COMPLETED,14.22
Card Payment,Current,2024-10-26 16:22:48,2024-10-28 17:45:22,Amparcat.ro,-1.20,0.00,RON,COMPLETED,13.02
Card Payment,Current,2024-10-28 17:05:52,2024-10-29 06:40:20,Mobilitate urbana,-1.00,0.00,RON,COMPLETED,12.02
Transfer,Current,2024-10-30 23:03:19,2024-10-30 23:03:19,Revolut Bank UAB,10.00,0.00,RON,COMPLETED,22.02
Topup,Current,2024-11-03 18:51:45,2024-11-03 18:51:47,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,182.02
Transfer,Current,2024-11-03 18:52:11,2024-11-03 18:52:11,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,22.02
Transfer,Current,2024-11-04 11:59:25,2024-11-04 11:59:25,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,44.02
Transfer,Current,2024-11-06 09:33:42,2024-11-06 09:33:43,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,22.02
Transfer,Current,2024-11-07 12:22:25,2024-11-07 12:22:25,Revolut Bank UAB,1000.00,0.00,RON,COMPLETED,1022.02
Transfer,Current,2024-11-07 13:00:51,2024-11-07 13:00:51,Revolut Bank UAB,-2.50,0.00,RON,COMPLETED,1019.52
Card Payment,Current,2024-11-07 13:24:15,2024-11-08 07:48:48,Mega Image,-5.69,0.00,RON,COMPLETED,1013.83
Card Payment,Current,2024-11-07 13:22:18,2024-11-08 07:54:04,Orient Shaorma,-29.00,0.00,RON,COMPLETED,984.83
Card Payment,Current,2024-11-08 14:32:53,2024-11-09 07:46:15,Mega Image,-11.00,0.00,RON,COMPLETED,973.83
Card Payment,Current,2024-11-08 10:35:35,2024-11-09 07:46:19,Mega Image,-8.99,0.00,RON,COMPLETED,964.84
Card Payment,Current,2024-11-08 20:58:55,2024-11-09 17:23:21,Casa Natural Prod,-11.00,0.00,RON,COMPLETED,953.84
Card Payment,Current,2024-11-08 19:41:31,2024-11-09 17:23:25,Casa Natural Prod,-14.00,0.00,RON,COMPLETED,939.84
Card Payment,Current,2024-11-09 13:53:30,2024-11-10 07:34:41,Curcubeului Market,-22.00,0.00,RON,COMPLETED,917.84
Card Payment,Current,2024-11-09 18:28:49,2024-11-10 07:38:57,Carrefour,-4.65,0.00,RON,COMPLETED,913.19
Topup,Current,2024-11-10 16:38:25,2024-11-10 16:38:26,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,1073.19
Transfer,Current,2024-11-10 16:38:52,2024-11-10 16:38:53,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,913.19
Card Payment,Current,2024-11-09 18:18:29,2024-11-11 08:01:41,Zara,-280.40,0.00,RON,COMPLETED,632.79
Card Payment,Current,2024-11-10 15:18:12,2024-11-12 05:02:18,Klarna,-30.00,0.00,RON,COMPLETED,602.79
Card Payment,Current,2024-11-13 11:41:42,,Abonamente Săli,-219.00,0.00,RON,REVERTED,
Card Payment,Current,2024-11-12 15:11:42,2024-11-13 15:36:39,MOL,-22.00,0.00,RON,COMPLETED,580.79
Card Payment,Current,2024-11-12 17:47:38,2024-11-13 17:35:40,PENNY,-9.87,0.00,RON,COMPLETED,570.92
Card Payment,Current,2024-11-13 18:11:09,2024-11-14 15:59:51,Lidl,-1.99,0.00,RON,COMPLETED,568.93
Card Payment,Current,2024-11-14 13:19:39,2024-11-15 07:44:31,Mega Image,-4.79,0.00,RON,COMPLETED,564.14
Card Payment,Current,2024-11-14 08:02:17,2024-11-15 07:48:53,Ali Com Orient,-26.00,0.00,RON,COMPLETED,538.14
Transfer,Current,2024-11-15 10:31:24,2024-11-15 10:31:24,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,560.14
Topup,Current,2024-11-15 11:21:35,2024-11-15 11:21:36,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,720.14
Transfer,Current,2024-11-15 11:21:54,2024-11-15 11:21:54,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,560.14
Card Payment,Current,2024-11-15 10:33:05,2024-11-16 07:40:16,Mega Image,-44.00,0.00,RON,COMPLETED,516.14
Card Payment,Current,2024-11-15 12:01:48,2024-11-16 07:47:19,ParkLake Shopping Center,-35.00,0.00,RON,COMPLETED,481.14
Topup,Current,2024-11-17 20:28:44,2024-11-17 20:28:45,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,641.14
Transfer,Current,2024-11-17 20:29:10,2024-11-17 20:29:10,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,481.14
Card Payment,Current,2024-11-17 13:29:40,2024-11-18 04:42:45,Spalatorie Auto Alexander,-6.66,0.00,RON,COMPLETED,474.48
Card Payment,Current,2024-11-16 23:42:47,2024-11-18 17:49:06,Amparcat.ro,-6.00,0.00,RON,COMPLETED,468.48
Card Payment,Current,2024-11-15 07:30:03,2024-11-19 08:46:31,Metrorex,-3.00,0.00,RON,COMPLETED,465.48
Card Payment,Current,2024-11-15 07:29:55,2024-11-19 08:46:32,Metrorex,-3.00,0.00,RON,COMPLETED,462.48
Card Payment,Current,2024-11-19 14:18:11,2024-11-20 05:51:22,Starbucks,-40.00,0.00,RON,COMPLETED,422.48
Card Payment,Current,2024-11-20 10:40:54,2024-11-20 17:42:49,Froo,-4.99,0.00,RON,COMPLETED,417.49
Card Payment,Current,2024-11-19 07:04:24,2024-11-21 05:53:29,Metrorex,-3.00,0.00,RON,COMPLETED,414.49
Card Payment,Current,2024-11-19 16:01:31,2024-11-21 05:53:38,Metrorex,-3.00,0.00,RON,COMPLETED,411.49
Card Payment,Current,2024-11-20 07:39:46,2024-11-21 18:36:36,Metrorex,-3.00,0.00,RON,COMPLETED,408.49
Card Payment,Current,2024-11-20 07:40:09,2024-11-21 18:36:39,Metrorex,-3.00,0.00,RON,COMPLETED,405.49
Card Payment,Current,2024-11-21 08:30:20,2024-11-22 07:39:25,Mega Image,-2.29,0.00,RON,COMPLETED,403.20
Card Payment,Current,2024-11-21 10:17:02,2024-11-22 07:39:30,Mega Image,-2.49,0.00,RON,COMPLETED,400.71
Card Payment,Current,2024-11-22 10:37:56,2024-11-22 18:29:57,Froo,-11.88,0.00,RON,COMPLETED,388.83
Card Payment,Current,2024-11-21 19:49:23,2024-11-22 18:32:07,Metrorex,-3.00,0.00,RON,COMPLETED,385.83
Transfer,Current,2024-11-22 19:53:26,2024-11-22 19:53:26,Revolut Bank UAB,20.00,0.00,RON,COMPLETED,405.83
Card Payment,Current,2024-11-22 23:57:08,,Uber,-13.57,0.00,RON,REVERTED,
Card Payment,Current,2024-11-22 12:50:56,2024-11-23 07:52:23,Image Photo Production,-1.50,0.00,RON,COMPLETED,404.33
Card Payment,Current,2024-11-23 00:00:42,2024-11-23 08:03:22,Bolt,-11.70,0.00,RON,COMPLETED,392.63
Topup,Current,2024-11-23 18:20:39,2024-11-23 18:20:40,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,552.63
Transfer,Current,2024-11-23 18:20:58,2024-11-23 18:20:58,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,392.63
Card Payment,Current,2024-11-23 12:03:34,2024-11-23 18:41:23,Froo,-20.47,0.00,RON,COMPLETED,372.16
Card Payment,Current,2024-11-24 18:06:11,2024-11-26 04:48:49,Kfc,-13.00,0.00,RON,COMPLETED,359.16
Card Payment,Current,2024-11-24 17:51:55,2024-11-26 04:48:59,Kfc,-10.50,0.00,RON,COMPLETED,348.66
Card Payment,Current,2024-11-22 14:49:24,2024-11-26 05:02:40,Metrorex,-3.00,0.00,RON,COMPLETED,345.66
Card Payment,Current,2024-11-22 20:10:39,2024-11-26 05:02:55,Metrorex,-3.00,0.00,RON,COMPLETED,342.66
Card Payment,Current,2024-11-25 09:28:37,2024-11-26 07:35:48,Mega Image,-7.48,0.00,RON,COMPLETED,335.18
Transfer,Current,2024-11-26 09:24:09,2024-11-26 09:24:09,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,313.18
Card Payment,Current,2024-11-26 11:32:55,2024-11-27 07:43:34,Mega Image,-3.99,0.00,RON,COMPLETED,309.19
Transfer,Current,2024-11-27 08:23:15,2024-11-27 08:23:15,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,331.19
Transfer,Current,2024-11-27 09:29:09,2024-11-27 09:29:09,Revolut Bank UAB,-10.00,0.00,RON,COMPLETED,321.19
Card Payment,Current,2024-11-27 08:23:50,2024-11-27 16:35:14,Froo,-21.99,0.00,RON,COMPLETED,299.20
Transfer,Current,2024-11-29 15:16:51,2024-11-29 15:16:51,Revolut Bank UAB,400.00,0.00,RON,COMPLETED,699.20
Card Payment,Current,2024-11-29 18:18:40,2024-11-30 18:16:37,PENNY,-31.22,0.00,RON,COMPLETED,667.98
Card Payment,Current,2024-11-29 16:10:14,2024-11-30 18:17:42,Zara,-350.40,0.00,RON,COMPLETED,317.58
Card Payment,Current,2024-11-29 15:10:02,2024-11-30 18:17:46,Inmedio,-8.00,0.00,RON,COMPLETED,309.58
Card Payment,Current,2024-11-29 16:33:47,2024-11-30 18:17:46,Inmedio,-6.00,0.00,RON,COMPLETED,303.58
Topup,Current,2024-11-30 21:15:58,2024-11-30 21:16:00,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,463.58
Transfer,Current,2024-11-30 21:16:15,2024-11-30 21:16:15,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,303.58
Card Payment,Current,2024-11-30 14:01:26,2024-12-01 05:48:14,MM Partners Pub,-3.00,0.00,RON,COMPLETED,300.58
Card Payment,Current,2024-12-02 11:33:19,2024-12-02 18:54:38,Froo,-9.68,0.00,RON,COMPLETED,290.90
Card Payment,Current,2024-12-02 14:26:38,2024-12-03 05:03:10,Bolt,-3.86,0.00,RON,COMPLETED,287.04
Card Payment,Current,2024-11-29 07:44:09,2024-12-03 05:11:54,Metrorex,-3.00,0.00,RON,COMPLETED,284.04
Card Payment,Current,2024-12-02 08:12:21,2024-12-03 07:33:58,Mega Image,-22.00,0.00,RON,COMPLETED,262.04
Card Payment,Current,2024-12-02 16:05:44,2024-12-03 07:34:40,Stand Up BarberShop,-10.00,0.00,RON,COMPLETED,252.04
Transfer,Current,2024-12-03 11:33:13,2024-12-03 11:33:13,Revolut Bank UAB,-4.00,0.00,RON,COMPLETED,248.04
Card Payment,Current,2024-12-02 16:57:33,2024-12-03 18:53:39,Profi,-21.40,0.00,RON,COMPLETED,226.64
Card Payment,Current,2024-12-02 07:44:24,2024-12-03 19:18:52,Metrorex,-3.00,0.00,RON,COMPLETED,223.64
Card Payment,Current,2024-12-03 12:36:18,2024-12-04 06:42:07,Mega Image,-10.47,0.00,RON,COMPLETED,213.17
Transfer,Current,2024-12-04 10:23:35,2024-12-04 10:23:35,Revolut Bank UAB,1.00,0.00,RON,COMPLETED,214.17
Transfer,Current,2024-12-04 10:31:12,2024-12-04 10:31:12,Revolut Bank UAB,13.00,0.00,RON,COMPLETED,227.17
Card Payment,Current,2024-12-03 15:14:07,2024-12-04 18:14:11,Sdc Biruintei C0,-29.50,0.00,RON,COMPLETED,197.67
Card Payment,Current,2024-12-05 13:00:27,2024-12-06 07:36:47,Mega Image,-22.00,0.00,RON,COMPLETED,175.67
Transfer,Current,2024-12-06 20:30:02,2024-12-06 20:30:02,Revolut Bank UAB,150.00,0.00,RON,COMPLETED,325.67
Transfer,Current,2024-12-07 18:38:05,2024-12-07 18:52:04,To Razvan Mihai Pica,-150.00,0.00,RON,COMPLETED,175.67
Transfer,Current,2024-12-07 19:22:13,2024-12-07 19:22:13,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,153.67
Transfer,Current,2024-12-07 20:06:18,2024-12-07 20:08:12,To maia basalau,-40.00,0.00,RON,COMPLETED,113.67
Transfer,Current,2024-12-07 21:11:56,2024-12-07 21:11:56,Revolut Bank UAB,-20.00,0.00,RON,COMPLETED,93.67
Card Payment,Current,2024-12-07 19:21:59,2024-12-08 07:36:07,Mega Image,-7.09,0.00,RON,COMPLETED,86.58
Card Payment,Current,2024-12-08 00:04:13,2024-12-08 14:27:48,Uber,-47.12,0.00,RON,COMPLETED,39.46
Topup,Current,2024-12-08 22:53:24,2024-12-08 22:53:25,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,199.46
Transfer,Current,2024-12-08 22:54:05,2024-12-08 22:54:05,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,39.46
Card Payment,Current,2024-12-07 18:27:18,2024-12-10 06:09:55,Metrorex,-3.00,0.00,RON,COMPLETED,36.46
Card Payment,Current,2024-12-10 18:21:57,2024-12-11 07:52:09,Leroy Merlin,-19.90,0.00,RON,COMPLETED,16.56
Card Payment,Current,2024-12-10 07:53:42,2024-12-11 19:09:54,Metrorex,-3.00,0.00,RON,COMPLETED,13.56
Card Payment,Current,2024-12-10 13:52:50,2024-12-11 19:10:05,Metrorex,-3.00,0.00,RON,COMPLETED,10.56
Transfer,Current,2024-12-13 08:18:04,2024-12-13 08:18:04,Revolut Bank UAB,30.00,0.00,RON,COMPLETED,40.56
Card Payment,Current,2024-12-13 08:20:50,2024-12-14 07:47:57,Mega Image,-29.09,0.00,RON,COMPLETED,11.47
Topup,Current,2024-12-21 21:10:09,2024-12-21 21:10:10,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,171.47
Transfer,Current,2024-12-21 21:10:26,2024-12-21 21:10:26,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,11.47
Topup,Current,2024-12-27 17:47:32,2024-12-27 17:47:33,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,171.47
Transfer,Current,2024-12-27 17:47:49,2024-12-27 17:47:49,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,11.47
Transfer,Current,2024-12-29 13:25:27,2024-12-29 13:25:27,Revolut Bank UAB,-5.00,0.00,RON,COMPLETED,6.47
Topup,Current,2024-12-29 22:10:38,2024-12-29 22:10:39,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,166.47
Transfer,Current,2024-12-29 22:10:55,2024-12-29 22:10:55,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,6.47
Transfer,Current,2024-12-30 15:41:53,2024-12-30 15:41:54,Revolut Bank UAB,5.00,0.00,RON,COMPLETED,11.47
Card Payment,Current,2024-12-27 17:40:36,2024-12-30 17:16:47,Amparcat.ro,-1.20,0.00,RON,COMPLETED,10.27
Transfer,Current,2024-12-30 18:10:56,2024-12-30 18:10:56,Revolut Bank UAB,145.00,0.00,RON,COMPLETED,155.27
Card Payment,Current,2024-12-27 17:57:47,2024-12-31 06:05:43,Metrorex,-3.00,0.00,RON,COMPLETED,152.27
Transfer,Current,2025-01-01 13:41:01,2025-01-01 13:41:01,Revolut Bank UAB Vilnius Sucursala București,-145.00,0.00,RON,COMPLETED,7.27
Transfer,Current,2025-01-02 15:20:23,2025-01-02 15:20:23,Revolut Bank UAB,200.00,0.00,RON,COMPLETED,207.27
Transfer,Current,2025-01-02 15:33:39,2025-01-02 15:33:42,To Razvan Mihai Pica,-200.00,0.00,RON,COMPLETED,7.27
Topup,Current,2025-01-02 21:01:25,2025-01-02 21:01:26,Apple Pay top-up by *1781,200.00,0.00,RON,COMPLETED,207.27
Transfer,Current,2025-01-02 21:02:39,2025-01-02 21:02:39,Revolut Bank UAB,-200.00,0.00,RON,COMPLETED,7.27
Topup,Current,2025-01-04 01:29:54,2025-01-04 01:29:55,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,167.27
Transfer,Current,2025-01-04 01:30:10,2025-01-04 01:30:10,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,7.27
Topup,Current,2025-01-04 18:36:43,2025-01-04 18:36:44,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,167.27
Transfer,Current,2025-01-04 18:36:56,2025-01-04 18:36:57,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,7.27
Transfer,Current,2025-01-08 10:36:10,2025-01-08 10:36:10,Revolut Bank UAB,6.00,0.00,RON,COMPLETED,13.27
Transfer,Current,2025-01-10 19:29:26,2025-01-10 19:29:27,Revolut Bank UAB Vilnius Sucursala București,-10.00,0.00,RON,COMPLETED,3.27
Topup,Current,2025-01-11 20:57:20,2025-01-11 20:57:21,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,163.27
Transfer,Current,2025-01-11 20:57:39,2025-01-11 20:57:39,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,3.27
Topup,Current,2025-01-12 17:02:27,2025-01-12 17:02:28,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,163.27
Transfer,Current,2025-01-12 17:02:43,2025-01-12 17:02:43,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,3.27
Transfer,Current,2025-01-14 18:14:39,2025-01-14 18:14:39,Revolut Bank UAB,1.00,0.00,RON,COMPLETED,4.27
Transfer,Current,2025-01-14 18:14:45,2025-01-14 18:14:46,Revolut Bank UAB,16.00,0.00,RON,COMPLETED,20.27
Card Payment,Current,2025-01-15 18:40:28,2025-01-16 11:14:59,Lidl,-2.29,0.00,RON,COMPLETED,17.98
Topup,Current,2025-01-18 22:00:09,2025-01-18 22:00:10,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,177.98
Transfer,Current,2025-01-18 22:00:24,2025-01-18 22:00:24,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,17.98
Topup,Current,2025-01-19 17:18:33,2025-01-19 17:18:34,Apple Pay top-up by *1781,200.00,0.00,RON,COMPLETED,217.98
Transfer,Current,2025-01-19 17:19:17,2025-01-19 17:19:18,Revolut Bank UAB,-200.00,0.00,RON,COMPLETED,17.98
Card Payment,Current,2025-01-20 08:29:49,2025-01-21 07:49:37,Mega Image,-3.99,0.00,RON,COMPLETED,13.99
Topup,Current,2025-01-21 13:37:29,2025-01-21 13:37:30,Apple Pay top-up by *1781,70.00,0.00,RON,COMPLETED,83.99
Transfer,Current,2025-01-21 13:38:04,2025-01-21 13:38:05,Revolut Bank UAB,-70.00,0.00,RON,COMPLETED,13.99
Topup,Current,2025-01-24 22:40:26,2025-01-24 22:40:27,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,173.99
Transfer,Current,2025-01-24 22:41:02,2025-01-24 22:41:03,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,13.99
Topup,Current,2025-01-27 16:14:32,2025-01-27 16:14:33,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,173.99
Transfer,Current,2025-01-27 16:14:48,2025-01-27 16:14:48,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,13.99
Topup,Current,2025-01-27 22:14:16,2025-01-27 22:14:17,Apple Pay top-up by *1781,65.00,0.00,RON,COMPLETED,78.99
Transfer,Current,2025-01-27 22:16:20,2025-01-27 22:16:21,To David Adrian Grosu,-65.00,0.00,RON,COMPLETED,13.99
Topup,Current,2025-02-01 13:46:25,2025-02-01 13:46:26,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,173.99
Transfer,Current,2025-02-01 13:46:52,2025-02-01 13:46:53,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,13.99
Card Payment,Current,2025-02-01 15:50:21,2025-02-02 04:57:46,Simigeria Matei,-5.00,0.00,RON,COMPLETED,8.99
Card Payment,Current,2025-02-01 15:54:48,2025-02-02 07:13:20,Mega Image,-7.19,0.00,RON,COMPLETED,1.80
Card Payment,Current,2025-02-02 17:19:04,2025-02-03 18:05:20,Amparcat.ro,-1.20,0.00,RON,COMPLETED,0.60
Transfer,Current,2025-02-05 23:24:00,2025-02-05 23:24:00,Revolut Bank UAB,56.06,0.00,RON,COMPLETED,56.66
Transfer,Current,2025-02-06 09:46:31,2025-02-06 09:46:31,Revolut Bank UAB,4.00,0.00,RON,COMPLETED,60.66
Topup,Current,2025-02-08 20:47:19,2025-02-08 20:47:20,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,220.66
Transfer,Current,2025-02-08 20:47:35,2025-02-08 20:47:35,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,60.66
Topup,Current,2025-02-10 14:55:52,2025-02-10 14:55:53,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,220.66
Transfer,Current,2025-02-10 14:56:12,2025-02-10 14:56:13,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,60.66
Topup,Current,2025-02-11 14:02:21,2025-02-11 14:02:23,Apple Pay top-up by *1781,410.00,0.00,RON,COMPLETED,470.66
Card Payment,Current,2025-02-11 14:03:41,2025-02-12 17:21:06,AliExpress,-451.51,0.00,RON,COMPLETED,19.15
Rev Payment,Current,2025-02-15 12:04:49,2025-02-15 12:05:09,amparcat.ro*Otopeni,-1.20,0.00,RON,COMPLETED,17.95
Topup,Current,2025-02-15 13:32:32,2025-02-15 13:32:33,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,177.95
Transfer,Current,2025-02-15 13:32:49,2025-02-15 13:32:49,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,17.95
Transfer,Current,2025-02-18 12:44:35,2025-02-18 12:44:36,Revolut Bank UAB,140.00,0.00,RON,COMPLETED,157.95
Topup,Current,2025-02-18 12:45:09,2025-02-18 12:45:10,Apple Pay top-up by *1781,140.00,0.00,RON,COMPLETED,297.95
Transfer,Current,2025-02-19 21:52:31,2025-02-19 21:52:31,Revolut Bank UAB,400.00,0.00,RON,COMPLETED,697.95
Card Payment,Current,2025-02-19 15:25:10,2025-02-20 04:57:02,Kenos Life,-270.00,0.00,RON,COMPLETED,427.95
Transfer,Current,2025-02-21 20:28:51,2025-02-21 20:28:51,Revolut Bank UAB,150.00,0.00,RON,COMPLETED,577.95
Card Payment,Current,2025-02-21 08:39:57,2025-02-22 07:24:11,Carrefour,-12.07,0.00,RON,COMPLETED,565.88
Transfer,Current,2025-02-22 14:01:07,2025-02-22 14:01:08,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,405.88
Transfer,Current,2025-02-22 20:16:34,2025-02-22 20:16:35,Revolut Bank UAB,-8.00,0.00,RON,COMPLETED,397.88
Card Payment,Current,2025-02-22 17:33:07,2025-02-23 11:22:09,Carrefour,-22.99,0.00,RON,COMPLETED,374.89
Card Payment,Current,2025-02-22 18:36:23,2025-02-23 12:47:59,Casa Natural Prod,-15.00,0.00,RON,COMPLETED,359.89
Card Payment,Current,2025-02-22 19:37:54,2025-02-23 12:48:00,Casa Natural Prod,-19.00,0.00,RON,COMPLETED,340.89
Card Payment,Current,2025-02-23 17:36:45,2025-02-24 05:11:19,Mega Image,-23.00,0.00,RON,COMPLETED,317.89
Card Payment,Current,2025-02-23 17:02:56,2025-02-24 05:15:59,Free Spirit,-7.00,0.00,RON,COMPLETED,310.89
Card Payment,Current,2025-02-23 18:44:19,2025-02-24 05:16:03,dm drogerie,-25.95,0.00,RON,COMPLETED,284.94
Card Payment,Current,2025-02-24 09:28:51,2025-02-25 06:50:57,Mega Image,-7.37,0.00,RON,COMPLETED,277.57
Card Payment,Current,2025-02-24 18:39:07,2025-02-25 06:51:22,Mega Image,-23.00,0.00,RON,COMPLETED,254.57
Card Payment,Current,2025-02-24 11:58:44,2025-02-25 12:39:31,Cora,-2.99,0.00,RON,COMPLETED,251.58
Transfer,Current,2025-02-25 13:57:08,2025-02-25 13:57:08,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,91.58
